category,question,option_a,option_b,option_c,correct,explanation
環保題,何謂「碳匯」(Carbon Sink)？,排放溫室氣體之碳源設施,碳交易市場的價格計算基準,能吸收並儲存大氣中二氧化碳之自然或人工系統,C,碳匯(Carbon Sink)係指能吸收並儲存大氣中二氧化碳之自然或人工系統，作為CO2「倉庫」，減少大氣溫室氣體濃度，有助減緩氣候變遷。正確答案C「能吸收並儲存大氣中二氧化碳之自然或人工系統」準確描述碳匯定義。主要碳匯包括：綠碳(森林、草原)、藍碳(海洋、海草床、紅樹林)、黃碳(土壤、農地)。依2050淨零排放路徑，除減碳外，提升碳匯為關鍵策略。
環保題,依《廢棄物清理法》，家戶產生的廢棄物，其回收、清除、處理由誰負責規劃辦理？,中央主管機關(環境部),地方政府(直轄市、縣市政府),家戶自行委託民間清除業者,B,酸雨係指pH值低於5.6之降水，主要由二氧化硫(SO2)及氮氧化物(NOx)等酸性氣體前驅物造成。正確答案A「二氧化硫(SO2)及氮氧化物(NOx)」為酸雨主要前驅物。SO2主要來自燃燒含硫燃料之火力電廠、工業製程；NOx主要來自火力發電及汽機車排放。這些前驅物在大氣中經光化學反應，轉化為硫酸及硝酸，隨降水落下形成酸雨。
環保題,何種氣體是造成酸雨的主要前驅物之一？,二氧化硫(SO2)及氮氧化物(NOx),臭氧(O3)及懸浮微粒(PM10),二氧化碳(CO2)及甲烷(CH4),A,廢棄物清理法第5條規定：「一般廢棄物，由執行機關清除處理。」第12條明定：「一般廢棄物之清除、處理，由直轄市、縣（市）主管機關為之。」家戶產生之廢棄物屬「一般廢棄物」，其回收、清除、處理由正確答案B「地方政府(直轄市、縣市政府)」環保局及清潔隊負責規劃辦理。相對地，事業廢棄物由事業自行或委託合格業者清除處理。
環保題,何謂「綠色金融」(Green Finance)？,以綠色貨幣進行的數位金融交易,專門投資綠色建築產業的基金,針對環境永續發展目標提供之金融投資與服務,C,綠色金融(Green Finance)或稱永續金融，是指為了促進環境永續發展目標而提供的各類金融投資與服務。其核心是將資金引導至有助於環境保護的產業或計畫，例如投資再生能源、綠色建築、污染防治、循環經濟等，並將環境、社會及治理(ESG)風險納入投資決策中。
環保題,在環境管理中，ISO 14001是一個關於什麼的管理系統標準？,品質管理系統,環境管理系統,職業安全衛生管理系統,B,"ISO 14001為國際標準化組織(ISO)制定之環境管理系統(Environmental Management System, EMS)標準，提供組織建立、實施、維持及持續改善環境管理系統之架構。正確答案B「環境管理系統」為ISO 14001的主題。現行版本ISO 14001:2015要求組織：鑑別環境考量面及衝擊、遵守環境法規、設定環境目標並監測績效、持續改善環境績效。"
環保題,何謂「氣候變遷調適」(Climate Change Adaptation)？,為因應氣候變遷衝擊而調整自然或人類系統以減輕危害,減少溫室氣體排放以避免氣候變遷,研究氣候變遷原因的科學調查活動,A,氣候變遷調適(Climate Change Adaptation)係指為因應當前或預期之氣候變遷及其影響，在自然或人類系統所做的調整，以減輕危害或發展有利機會。正確答案A「為因應氣候變遷衝擊而調整自然或人類系統以減輕危害」準確描述調適定義。調適與「減緩」(Mitigation)不同：減緩係指減少溫室氣體排放；調適則是接受氣候變遷已發生，調整因應以降低損害。
環保題,依《噪音管制法》，工廠(場)噪音管制標準的測量單位為何？,瓦特(W),赫茲(Hz),分貝(dB或dBA),C,噪音管制法第6條授權訂定「噪音管制標準」，其測量單位為分貝(dB)。正確答案C「分貝(dB或dBA)」為噪音管制單位。分貝為音壓位準單位，表示聲音強度，1分貝(dB)為1貝爾(Bell)之十分之一。噪音管制常用dB(A)，A權重模擬人耳對不同頻率聲音之感受，對低頻衰減較多。
環保題,何者為「里山倡議」(Satoyama Initiative)的核心精神？,完全禁止開發保護原始森林環境,維護與自然和諧共生的社會-生態-生產地景,大規模機械化農業提高糧食產量,B,里山倡議(Satoyama Initiative)於2010年提出，核心概念為「社會-生態-生產地景」(SEPLS)，係指人類與自然長期交互作用形成之動態鑲嵌斑塊景觀，在此過程中維持生物多樣性並提供人類生活所需。正確答案B「維護與自然和諧共生的社會-生態-生產地景」準確描述里山倡議核心精神。倡議願景為「實現與自然和諧共處的社會」，強調在農業等社會經濟活動中，兼顧生物多樣性保育與資源永續利用。
環保題,在環境教育中，何謂「環境素養」(Environmental Literacy)？,個人對環境議題的知識、態度、技能和參與意願的綜合體,指擁有分析環境問題的知識與技能，不包含個人情感態度,強調親身參與環保的實踐行動，學術理論知識非必要,A,環境素養（Environmental Literacy）指個人對環境議題的知識、態度、技能和參與意願的綜合體。正確答案A「個人對環境議題的知識、態度、技能和參與意願的綜合體」準確定義環境素養。包括：(1)環境知識（了解生態系統、環境問題）、(1)環境態度（關心環境、環保價值觀）、(3)環境技能（解決環境問題能力）、(4)環境行為（實際參與環保行動）。培養環境素養是環境教育的核心目標。
環保題,何謂「綠色採購」(Green Procurement)？,優先採購價格最低廉的產品，不考慮其生產過程對環境造成的影響,僅以產品的品質和功能為唯一考量，環境友善與否並非重點,在採購產品或服務時，將環境效益納入考量，優先選擇對環境友善的產品,C,綠色採購係指採購產品或服務時，將環境影響納入考量，優先購買具環保標章、節能標章、省水標章、綠建材標章等對環境友善之產品。正確答案C「在採購產品或服務時，將環境效益納入考量，優先選擇對環境友善的產品」準確描述綠色採購。我國政府自2002年起推動「機關綠色採購推廣方案」，規範各級機關、公營事業、公立學校需優先採購環保產品。
環保題,ISO 14064系列標準主要規範什麼？,產品品質管理,溫室氣體盤查與查證,職業安全衛生管理,B,ISO 14064系列為國際溫室氣體盤查與查證標準，分三部分：ISO 14064-1（組織層級溫室氣體排放減量與移除之量化與報告）、ISO 14064-2（專案層級溫室氣體減量）、ISO 14064-3（查證與確證溫室氣體聲明）。正確答案B「溫室氣體盤查與查證」為ISO 14064系列主要規範內容。企業透過ISO 14064-1進行溫室氣體盤查，可增強報告可信度，作為企業碳管理及減碳策略基礎。
環保題,何謂「生態足跡」(Ecological Footprint)？,衡量人類活動對地球生態系統需求的指標，以生產和吸收廢棄物所需的土地和水域面積表示,評估生物多樣性豐富程度的指標,計算碳排放量的專門方法,A,生態足跡由加拿大學者Rees & Wackernagel於1994年提出，用以衡量人類活動對地球資源的需求量，計算某地區人口消費資源及處理廢棄物所需的土地或水域面積，單位為全球公頃（gha）。正確答案A「衡量人類活動對地球生態系統需求的指標，以生產和吸收廢棄物所需的土地和水域面積表示」準確定義生態足跡。若生態足跡超過地球承載力，形成生態赤字。
環保題,在水資源管理中，何謂「水足跡」(Water Footprint)？,評估水資源開發潛力的指標,衡量水體污染程度的指標,衡量產品、服務或個人在整個生命週期中直接和間接消耗的水量,C,水足跡又稱虛擬水（Virtual Water），指產品在生產過程全生命週期中直接及間接消耗的總水量。正確答案C「衡量產品、服務或個人在整個生命週期中直接和間接消耗的水量」準確定義水足跡。Hoekstra於2002年提出水足跡概念，分三類：綠色水足跡（降雨降水）、藍色水足跡（地表水及地下水）、灰色水足跡（稀釋污染恢復水質所需淡水量）。
環保題,何者為「環境會計」(Environmental Accounting)的主要目的？,評估企業的社會責任表現,將環境成本和效益納入企業的財務決策和報告中,計算環境污染的經濟損失,B,環境會計（Environmental Accounting）係指企業使用會計方法，計算物料使用效率及環境成本，分析財務及非財務資訊，以追蹤物料使用效率並優化企業環境與經濟績效。正確答案B「將環境成本和效益納入企業的財務決策和報告中」準確描述環境會計主要目的。環境管理會計（EMA）提供能源、水、原物料使用的實體及貨幣資訊，作為財務決策依據。
環保題,在廢棄物管理中，何謂「最終處置」(Final Disposal)？,將廢棄物以衛生掩埋或其他方式，使其永久與生活環境隔離，不再對環境造成危害,依規定一般廢棄物及事業廢棄物之總稱,經環保署公告之有害事業廢棄物,A,最終處置指廢棄物經分類、回收、焚化等前處理後，以衛生掩埋或其他方法永久隔離，不再對環境造成危害。正確答案A「將廢棄物以衛生掩埋或其他方式，使其永久與生活環境隔離，不再對環境造成危害」準確定義最終處置。衛生掩埋為最終處置主要方式，透過廢棄物與土壤微生物物理化學反應，轉化為固液氣產物，逐漸減量達物理穩定性及生化安全。
環保題,何者為「環境影響評估法」中，『環境影響說明書』的主要內容？,詳細的開發工程設計圖說,開發單位過去的環保績效報告,說明開發行為對環境可能造成的影響、減輕對策及替代方案,C,環境影響說明書為開發單位依環評法第一階段環評程序，於規劃階段編製之文件，說明開發行為對環境可能影響、減輕對策及替代方案。正確答案C「說明開發行為對環境可能造成的影響、減輕對策及替代方案」準確描述說明書主要內容。依環評法規定，應實施環評之開發行為須將環境影響說明書經審查通過後方可開發，以預防及減輕開發行為對環境不良影響。
環保題,在空氣污染防制中，何謂「最佳可行控制技術」(BACT)？,僅指符合最低排放標準的技術,在考量技術可行性、經濟合理性及環境效益後，所能達到最嚴格的污染控制技術,針對特定產業制定的污染防治策略,B,BACT（Best Available Control Technology，最佳可行控制技術）源自美國1990年淨化空氣法案，指在考量能源消耗、總源排放、區域環境影響、經濟成本等因素後，達到最嚴格的污染控制技術。正確答案B「在考量技術可行性、經濟合理性及環境效益後，所能達到最嚴格的污染控制技術」準確定義BACT。我國環保署於2002年公告施行「固定污染源最佳可行控制技術」，作為新設或變更污染源許可審查依據。
環保題,何謂「環境倫理」(Environmental Ethics)？,探討人類與自然環境之間道德關係的學問，主張人類對環境負有道德責任,規範環境保護行為的法律條文,評估環境政策效益的學術研究,A,環境倫理學為哲學分支，探討人類與自然環境的道德關係，以及環境與其非人類內容的價值與道德地位。正確答案A「探討人類與自然環境之間道德關係的學問，主張人類對環境負有道德責任」準確定義環境倫理。1970年代環境倫理作為哲學新領域興起，挑戰傳統人類中心主義，探討賦予自然環境內在價值的理性論據。環境倫理主張自然非僅為資源或商品，人類應負責任地使用資源、保護生態系。
環保題,在廢棄物管理中，何謂「資源化」(Resource Recovery)？,將廢棄物直接掩埋處理,僅指回收塑膠和金屬,將廢棄物轉化為有用的物質或能源，以減少對原生資源的依賴和環境負荷,C,資源化指將廢棄物轉化為有用物質或能源，減少原生資源依賴與環境負荷，包含物質回收（再利用、再製造、再生）及能源回收（焚化發電、製成固體再生燃料）。正確答案C「將廢棄物轉化為有用的物質或能源，以減少對原生資源的依賴和環境負荷」準確定義資源化。我國推動「資源回收再利用促進計畫」，涵蓋物料生產、消費、廢棄至再生全階段，促進物質永續循環。
環保題,何謂「綠色化學」(Green Chemistry)？,僅指使用天然無毒的化學原料,設計化學產品和製程，以減少或消除有害物質的使用和產生,開發新型高效能化學產品,B,綠色化學為新興化學分支，以「原子經濟性」為原則，研究如何在產生目的生成物過程中充分利用原料及能源，減少有害物質釋放。正確答案B「設計化學產品和製程，以減少或消除有害物質的使用和產生」準確定義綠色化學。1998年John C. Warner與Paul Anastas提出著名的綠色化學12項原則，從源頭思考化學角色，設計友善環境化學品、低污染化學製程及永續商業產品。
環保題,"在環境管理中，何謂「生命週期評估」(Life Cycle Assessment, LCA)？",從產品或服務的原料取得、製造、使用到廢棄處理，全面評估其對環境造成的衝擊,僅評估產品製造過程中的能源消耗,評估企業的環境管理系統是否符合標準,A,"生命週期評估（LCA, Life Cycle Assessment）依ISO 14040標準，評估產品或服務從原料取得、製造、運輸、使用到廢棄處理整個生命週期對環境的影響。正確答案A「從產品或服務的原料取得、製造、使用到廢棄處理，全面評估其對環境造成的衝擊」準確定義LCA。LCA四階段：(1)目標與範疇界定、(2)盤查分析（資源消耗、污染排放）、(3)衝擊評估（對環境的影響）、(4)結果詮釋。"
環保題,何者為「生物復育」(Bioremediation)的主要原理？,透過物理化學方法移除污染物,利用基因工程技術改造生物,利用微生物或植物的代謝能力，將環境中的污染物降解或轉化為無害物質,C,生物復育指利用生物系統（細菌、微藻、真菌或植物）移除或中和污染場址污染物之技術。正確答案C「利用微生物或植物的代謝能力，將環境中的污染物降解或轉化為無害物質」準確定義生物復育。微生物生物復育依賴微生物代謝潛能，透過氧化還原過程將環境污染物降解為無害形式。生物復育分現地處理（in situ）及異地處理（ex situ）。
環保題,"在永續消費中，何謂「產品服務化」(Product-Service Systems, PSS)？",僅指產品的租賃服務,企業提供產品的服務功能而非產品本身的所有權，以鼓勵產品的重複使用和延長壽命,強調產品的綠色設計與製造,B,"產品服務化（Product-Service Systems, PSS）為循環經濟的重要商業模式，企業提供產品的服務功能而非產品本身的所有權。正確答案B「企業提供產品的服務功能而非產品本身的所有權，以鼓勵產品的重複使用和延長壽命」準確定義PSS。例如共享經濟、租賃服務（汽車租賃、影印機租賃）、按次計費服務等，鼓勵產品重複使用、延長壽命，減少資源浪費。"
環保題,"何者為「環境管理系統」(Environmental Management System, EMS)的核心目標？",透過系統化的管理方法，持續改善組織的環境績效，並達成環境目標,僅限於減少廢棄物產生量,確保企業符合所有環境法規,A,環境管理系統（EMS）為組織透過系統化管理方法，持續改善環境績效並達成環境目標之架構。正確答案A「透過系統化的管理方法，持續改善組織的環境績效，並達成環境目標」準確描述EMS核心目標。ISO 14001為國際環境管理系統標準，要求組織：鑑別環境考量面及衝擊、遵守環境法規、設定環境目標並監測績效、持續改善環境績效。
環保題,"在氣候變遷減緩策略中，何謂「碳捕捉與封存」(Carbon Capture and Storage, CCS)？",透過植樹造林增加碳匯,減少化石燃料的使用,在發電廠或工業製程中，捕捉排放的二氧化碳，並將其運輸至地質構造中長期儲存,C,CCS（碳捕捉與封存，Carbon Capture and Storage）指在發電廠或工業設施將化石燃料轉換能源過程中，使用捕捉技術分離CO2排放，經壓縮運輸至適當儲存地點長期隔離。正確答案C「在發電廠或工業製程中，捕捉排放的二氧化碳，並將其運輸至地質構造中長期儲存」準確定義CCS。CCS包含三步驟：捕捉（post-combustion、pre-combustion、oxy-fuel）、運輸、封存（深層地質構造或礦化碳酸鹽）。
環保題,何者為「水污染防治法」中，『總量管制』的主要目的？,鼓勵企業採用更潔淨的生產技術,針對特定水體，設定污染物排放總量上限，並將其分配給各污染源，以改善水質,對超標排放的企業處以罰款,B,總量管制指針對特定水體，依水質標準及水體涵容能力，設定污染物排放總量上限，再將總量分配給各污染源，限制排放量以改善水質。正確答案B「針對特定水體，設定污染物排放總量上限，並將其分配給各污染源，以改善水質」準確定義總量管制主要目的。我國水污染防治法授權主管機關公告總量管制區，管制區內事業、污水下水道系統需取得排放許可，並削減污染量。
環保題,在環境影響評估(EIA)中，何謂「環境影響說明書」？,開發單位針對開發行為可能對環境造成的影響，所進行的評估報告,政府部門發布的環境政策文件,環境監測數據的彙整報告,A,環境影響說明書為開發單位依環評法第一階段環評程序，於規劃階段編製之評估報告，說明開發行為對環境可能影響、減輕對策及替代方案。正確答案A「開發單位針對開發行為可能對環境造成的影響，所進行的評估報告」準確定義環境影響說明書。依環評法規定，應實施環評之開發行為，開發單位須將環境影響說明書送審查，通過後方可開發。
環保題,何者為「空氣污染防制法」中，『移動污染源』的定義？,僅指工廠排放的廢氣,固定不動的污染排放設施,指汽機車、船舶、航空器等，會移動且排放空氣污染物的交通工具,C,移動污染源指會移動並排放空氣污染物的交通工具，包括汽機車、船舶、航空器等。正確答案C「指汽機車、船舶、航空器等，會移動且排放空氣污染物的交通工具」準確定義移動污染源。空氣污染防制法將污染源分為固定污染源（工廠、焚化爐等）及移動污染源。移動污染源為都會區空氣污染主要來源，排放氮氧化物、一氧化碳、碳氫化合物、懸浮微粒。
環保題,在廢棄物處理中，何謂「焚化發電」(Waste-to-Energy)？,將廢棄物進行分類回收,將廢棄物焚燒產生熱能，再將熱能轉換為電能的技術,利用太陽能將廢棄物分解,B,焚化發電(Waste-to-Energy)是將廢棄物置於焚化爐中燃燒，產生的高溫熱能用來產生蒸氣，再利用蒸氣推動渦輪發電機來發電的技術。此技術不僅能大幅減少廢棄物的體積，同時能將廢棄物轉化為電能，達到資源回收再利用的目的。
環保題,何者為「土壤及地下水污染整治法」中，『污染控制場址』的定義？,經評估確認土壤或地下水已受污染，且有危害人體健康或環境之虞，需採取控制措施的場址,僅指已完成整治的污染場址,尚未進行任何調查的潛在污染區域,A,依《土壤及地下水污染整治法》，「污染控制場址」指土壤或地下水污染物濃度超過「管制標準」，有危害國民健康及生活環境之虞，經主管機關公告，需採取應變必要措施及實施污染控制計畫的場址。其目的是為了控制污染範圍，避免其擴大。
環保題,在氣候變遷調適策略中，何謂「綠色基礎建設」(Green Infrastructure)？,僅指使用綠色建材建造的建築物,大規模的再生能源發電設施,利用自然系統或模擬自然過程來提供環境效益和服務的基礎設施，例如雨水花園、透水鋪面、濕地等,C,綠色基礎建設指由各種開放空間及自然區域組成之互聯綠色空間網絡，包括綠道、濕地、雨水花園、森林、原生植被等，形成整合系統自然管理雨水、減少洪災、改善水質。雨水花園捕捉街道、屋頂、停車場逕流，植物與土壤吸收水分減少進入下水道。透水鋪面相較於混凝土或瀝青，允許雨水滲入地下而非快速流入下水道，改善地球滲透功能。綠色基礎建設相較於灰色基礎建設（混凝土堤防、下水道），成本較低、生態效益高，提供棲地、淨化空氣水質、調節微氣候，為氣候變遷調適重要策略。
環保題,何者為「永續發展目標」(SDGs)中，與水資源相關的目標？,目標1：消除各地一切形式的貧困,目標6：確保所有人都能享有水及衛生設施,目標13：採取緊急行動應對氣候變遷及其影響,B,聯合國2015年發布17項永續發展目標（SDGs），其中目標6為「確保所有人都能享有水及衛生設施及其永續管理」（Clean Water and Sanitation）。SDG 6包含8項細項目標：(1)普及安全飲用水、(2)改善衛生設施終結露天排便、(3)改善水質減少污染、(4)提高水資源使用效率、(5)水資源綜合管理、(6)保護水相關生態系、(7)擴大國際合作、(8)支持社區參與。2023年聯合國水資源會議強調全球20億人缺乏安全飲用水，需加速進展達成SDG 6，確保水資源永續利用與公平取得。
環保題,在環境管理中，何謂「環境稽核」(Environmental Audit)？,對組織的環境管理系統、環境績效或符合法規情況進行系統性、獨立且文件化的評估,僅指政府對企業的例行性檢查,評估環境污染損害賠償金額的程序,A,環境稽核指對組織環境管理系統、環境績效或法規符合性，進行系統性、獨立且文件化之評估過程。ISO 19011提供管理系統稽核指引，環境稽核目的：(1)確認ISO 14001符合性、(2)評估環境績效、(3)查核法規遵循、(4)鑑別改善機會。稽核分內部稽核（第一方）、客戶稽核（第二方）、驗證稽核（第三方）。稽核程序包含規劃、現場訪查、訪談、文件審查、不符合事項開立、矯正措施追蹤。透過環境稽核，組織可持續改善環境管理，降低環境風險，提升環境績效。
環保題,何者為「臭氧層破壞」的主要原因？,火山爆發產生大量硫化物,工業廢氣中二氧化碳濃度過高,氟氯碳化物(CFCs)等化學物質的排放,C,臭氧層破壞主因為氟氯碳化物（CFCs）、海龍（Halons）、四氯化碳、甲基氯仿等臭氧層破壞物質（ODS）之排放。CFCs廣泛用於冷媒、噴霧劑、發泡劑、清洗劑，排放至大氣後上升至平流層，受紫外線分解釋放氯原子，催化破壞臭氧分子，形成臭氧層空洞。1985年南極臭氧層空洞發現後，1987年簽署蒙特婁議定書管制ODS，分階段淘汰CFCs等物質。我國1994年公布「蒙特婁議定書列管化學物質管理辦法」，禁止製造進口CFCs。經全球努力，臭氧層正逐步恢復，預估2050-2070年回復至1980年水準。
環保題,在廢棄物管理中，何謂「有害事業廢棄物」？,所有可回收再利用的廢棄物,具有毒性、易燃性、腐蝕性、反應性或具感染性等特性，對人體健康或環境有害的事業廢棄物,僅指醫療院所產生的廢棄物,B,有害事業廢棄物指由事業單位產生，且具有毒性、易燃性、腐蝕性、感染性、爆炸性或石綿等，足以危害人體健康或污染環境的廢棄物。其認定方式包括「表列有害事業廢棄物」及「特性認定有害事業廢棄物」兩種。
安全題,依職業安全衛生法規定，雇主對於高度幾公尺以上之作業，應使勞工使用適當之防護具？,2公尺,1公尺,3公尺,A,依據安全相關法規，本題正確答案為「2公尺」。此答案符合法令規範要求，為該領域之正確知識與實務作法。
安全題,依危害性化學品標示及通識規則，GHS分類系統將物質危害分為幾大類？,急性危害、慢性危害,物理性危害、健康危害,物理性危害、健康危害、環境危害,C,GHS（全球化學品統一分類和標籤制度）依CNS 15030將危害性化學品分為三大類：(1)物理性危害（如易燃、爆炸、氧化）、(2)健康危害（如急毒性、致癌性、腐蝕）、(3)環境危害（水環境危害）。GHS危害圖式為紅色邊框、白底、黑色符號，包含火焰、骷髏、驚嘆號、腐蝕、健康危害、環境等9種圖式。裝有危害性化學品容器應依分類標示名稱、圖式、警示語、危害警告訊息、危害防範措施、製造商資訊等，確保化學品安全管理與資訊傳達。
安全題,局限空間作業前，氧氣濃度應維持在多少百分比以上？,0.16,0.18,0.2,B,依職業安全衛生設施規則第29-1條及局限空間作業危害預防要點規定，勞工進入局限空間作業前及作業中，應確認空氣中氧氣濃度達18%以上。缺氧指空氣中氧氣濃度未滿18%，氧氣低於18%需攜帶供氣式呼吸防護具方可進入。局限空間作業另需確認：可燃性氣體低於爆炸下限30%、硫化氫低於10 ppm、一氧化碳低於35 ppm。局限空間定義為非供勞工經常性作業、進出方法受限、無法自然通風維持充分清淨空氣之空間，如儲槽、管道、下水道、沉箱、涵洞等。
安全題,機械設備之護罩應採用何種設計原則？,以上皆是,依相關法規規定辦理,參照國際慣例制定,A,機械設備護罩設計應符合機械設備器具安全標準、相關法規規定及參照國際慣例（如ISO、IEC安全標準）。依機械設備器具安全標準規定，護罩應具備：(1)防止身體接觸危害部位、(2)堅固構造不易破壞、(3)不妨礙作業及維修、(4)不易卸除或與機械連動、(5)適當材質（透明或不透明）。ISO/IEC Guide 51規定機械安全為「不存在不可接受風險」，護罩設計從傳統危害檢出系統轉為安全確認系統。雇主應確保機械護罩完整有效，勞工不得擅自拆除或使之失效。
安全題,依職業安全衛生法，第一類事業單位勞工人數在幾人以上者，應設職業安全衛生管理單位？,100人,200人,300人,C,依職業安全衛生管理辦法規定，第一類事業（營造業、製造業等高風險行業）勞工人數達100人以上應設置專責一級管理單位。第一類事業100人以上需設專責一級單位，300人以上需配置2名以上職業安全衛生管理員。管理單位應為雇主直屬之一級單位，管理人員需專職駐廠執行職安衛業務，不得兼任與職安衛無關工作。事業分三類：第一類為高風險（營造、製造）、第二類為中風險、第三類為低風險，第一類事業安全管理要求最嚴格。
安全題,在電氣安全中，何種設備主要用於防止感電事故？,無熔絲開關(MCCB),漏電斷路器(ELCB),過載保護器,B,"漏電斷路器（ELCB, Earth Leakage Circuit Breaker）或漏電保護斷路器為防止觸電危險及火災之安全裝置。ELCB工作原理為偵測火線與中性線電流不平衡，正常情況流入流出電流相等，若發生漏電（電流漏至地面），ELCB偵測漏電流超過設定值（通常30mA）即自動切斷電源，保護人員及財產安全。ELB為純漏電保護型，ELCB為過載短路+漏電保護二合一型。ELCB廣泛應用於住宅、辦公室、工廠電氣安全，為基本電氣安全設備，與無熔絲開關（MCCB）搭配提供完整保護。"
安全題,進行風險評估時，風險等級(Risk Level)通常由哪兩個因素決定？,危害的嚴重性與發生的可能性,事故發生的頻率與成本,企業的規模與產業類別,A,風險評估（Risk Assessment）依ISO 31000標準，風險等級由危害嚴重性（Severity）及發生可能性（Likelihood/Probability）兩因素決定。風險值計算公式：風險等級 = 嚴重性 × 可能性。嚴重性分級通常為S1-S4（輕微至災難），可能性分級為P1-P4（極低至極高），組合成風險矩陣，風險等級分1-5級：第5級重大風險（需立即降低）、第4級高度風險（限期改善）、第3級中度風險（努力降低）、第2級低度風險（可接受）、第1級微小風險。風險評估程序包含風險鑑別、分析、評量，為職安衛管理核心工具。
安全題,安全資料表(SDS)共有幾個項目？,12個,20個,16個,C,SDS（Safety Data Sheet，安全資料表）為化學品管理必備安全履歷，依GHS標準及CNS 15030規定，SDS包含16個項目依序為：(1)化學品與廠商資料、(2)危害辨識資料、(3)成分辨識資料、(4)急救措施、(5)滅火措施、(6)洩漏處理方法、(7)安全處置與儲存方法、(8)暴露預防措施、(9)物理及化學性質、(10)安定性及反應性、(11)毒性資料、(12)生態資料、(13)廢棄處置方法、(14)運送資料、(15)法規資料、(16)其他資料。具物理性或健康危害之危害性化學品皆需具備SDS，16項順序為國際GHS標準化格式，確保全球一致性化學品危害資訊溝通。
安全題,何謂「本質安全」(Intrinsically Safe)設計？,透過外部防護罩隔離危險源,在正常或異常情況下，設備產生的電能或熱能都不足以引燃爆炸性氣體環境,採用高強度材料製造設備,B,本質安全（Intrinsically Safe）設計指在正常或異常情況下，設備產生的電能或熱能都不足以引燃爆炸性氣體環境。本質安全設備用於易燃易爆場所（如石化廠、油槽區），透過限制電路的電壓、電流及能量，即使發生短路或故障也不會產生足以引爆的火花或高溫，為最安全的防爆方式。
安全題,在噪音作業場所，勞工暴露的8小時日時量平均音壓級不得超過多少分貝？,85分貝,70分貝,100分貝,A,依職業安全衛生設施規則第300條，勞工工作場所因機械設備運轉致發生聲音超過85分貝時，雇主應採取工程控制、減少暴露時間等必要措施。噪音作業勞工8小時日時量平均音壓級不得超過85分貝，且應提供適當之耳塞、耳罩等防音防護具。
安全題,何種個人防護具(PPE)是防止吸入性危害的第一道防線？,防護手套,安全鞋,呼吸防護具,C,化學品洩漏緊急應變首要原則為確保人員安全，應立即隔離洩漏區域、疏散無關人員至安全距離外、管制人員進入。應變程序：(1)評估洩漏規模與危害、(2)穿戴適當防護具、(3)切斷洩漏源（關閉閥門、設備）、(4)防止洩漏擴散（築堤圍堵）、(5)吸收或中和洩漏物、(6)通風換氣、(7)妥善處理廢棄物。依SDS第6項洩漏處理方法及緊急應變計畫執行。大量洩漏應通報119及環保單位，啟動廠區緊急應變組織。切勿貿然進入洩漏區，避免二次災害。
安全題,「工作許可系統」(Permit-to-Work System)主要應用於何種作業？,低風險的例行性維護,高風險的非例行性作業,緊急狀況下的搶修作業,B,工作許可系統（Permit-to-Work System）主要應用於高風險的非例行性作業，如局限空間作業、動火作業、高處作業、開挖作業等。透過書面許可證制度，確認作業前已完成危害評估、安全措施、監督人員指派等程序。未經許可不得開始作業，有效管控高風險作業，預防重大職業災害。
安全題,依據ISO 45001職業健康安全管理系統，PDCA循環中的「C」代表什麼？,檢查(Check),溝通(Communicate),控制(Control),A,依ISO 45001職業健康安全管理系統，PDCA循環中的「C」代表檢查（Check），指監督、測量、分析及評估安全衛生績效。透過定期稽核、事故調查、績效指標追蹤等方式，檢查管理系統是否有效運作，找出缺失及改善機會，確保持續改善。PDCA循環為Plan（規劃）、Do（執行）、Check（檢查）、Act（行動）。
安全題,在防火防爆領域，「爆炸下限」(LEL)的定義為何？,易燃氣體完全燃燒所需的最低空氣量,易燃氣體在空氣中能夠被點燃的最高濃度,易燃氣體在空氣中能夠被點燃的最低濃度,C,"爆炸下限（LEL, Lower Explosive Limit）指易燃氣體或蒸氣在空氣中能夠被點燃的最低濃度。低於LEL濃度太低無法燃燒，高於爆炸上限（UEL）氧氣不足也無法燃燒。濃度在LEL與UEL之間為爆炸範圍，最危險。可燃氣體偵測器通常設定在LEL的25%時發出警報，確保安全。"
安全題,何謂「零災害運動」(Zero Accident Campaign)的核心理念？,建立嚴格的懲罰制度以嚇阻不安全行為的發生,強調人性尊重，全員參與發掘與解決潛在危險,安全管理完全由高階主管負責規劃與執行即可,B,零災害運動（Zero Accident Campaign）核心理念為強調人性尊重，全員參與發掘與解決潛在危險。由日本中央勞動災害防止協會於1973年推動，三大原則：(1)零的哲學（相信災害可以預防）、(2)全員參與（從經營者到基層勞工）、(3)危險預知訓練（KYT）。透過小組活動，建立安全文化。
安全題,在人因工程(Ergonomics)中，設計工作站時應優先考量何項原則？,讓設計適用於大多數使用者，並為極端身材者提供可調整性,採用單一尺寸設計以降低成本，不考慮使用者個體差異,以符合最低安全標準為目標，外觀設計為主要考量,A,人因工程（Ergonomics）設計工作站時應優先考量「讓設計適用於大多數使用者，並為極端身材者提供可調整性」。依人體計測資料，設計應符合第5百分位（女性較小身材）至第95百分位（男性較大身材）使用者需求。提供可調整設施（如升降桌、調整椅），確保所有人都能舒適安全工作，預防肌肉骨骼傷害。
